2026-01-09T14:27:12.896414+00:00 | DB_CALL get_all_categories | P3 | 0.11ms | success
2026-01-09T14:27:55.583853+00:00 | DB_CALL get_user_by_id | P3 | 0.29ms | success
2026-01-09T14:27:55.584791+00:00 | DB_CALL count_ingredients | P3 | 0.69ms | success
2026-01-09T14:27:55.584881+00:00 | DB_CALL get_user_by_id | P3 | 0.38ms | success
2026-01-09T14:27:55.585804+00:00 | DB_CALL count_products | P3 | 0.92ms | success
2026-01-09T14:27:55.586341+00:00 | DB_CALL count_purchases | P3 | 0.46ms | success
2026-01-09T14:27:55.586408+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
2026-01-09T14:27:55.589113+00:00 | DB_CALL count_users | P3 | 2.7ms | success
2026-01-09T14:27:55.589305+00:00 | DB_CALL count_categories | P3 | 0.12ms | success
2026-01-09T14:28:04.913966+00:00 | DB_CALL get_user_by_id | P3 | 0.67ms | success
2026-01-09T14:28:04.914145+00:00 | DB_CALL get_user_by_id | P3 | 0.43ms | success
2026-01-09T14:28:04.914471+00:00 | DB_CALL get_all_ingredients | P3 | 0.34ms | success
2026-01-09T14:28:04.915130+00:00 | DB_CALL get_all_purchases | P3 | 0.92ms | success
2026-01-09T14:28:08.534942+00:00 | DB_CALL get_user_by_id | P3 | 0.53ms | success
2026-01-09T14:28:08.535129+00:00 | DB_CALL get_user_by_id | P3 | 0.52ms | success
2026-01-09T14:28:08.535329+00:00 | DB_CALL get_all_categories | P3 | 0.24ms | success
2026-01-09T14:28:08.535811+00:00 | DB_CALL get_all_ingredients | P3 | 0.62ms | success
2026-01-09T14:28:08.696401+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:28:08.696655+00:00 | DB_CALL get_all_categories | P3 | 0.12ms | success
2026-01-09T14:28:15.850507+00:00 | DB_CALL get_user_by_username | P3 | 0.34ms | success
2026-01-09T14:28:15.868911+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
2026-01-09T14:28:15.869259+00:00 | DB_CALL get_all_ingredients | P3 | 0.21ms | success
2026-01-09T14:28:29.112099+00:00 | DB_CALL get_user_by_id | P3 | 0.33ms | success
2026-01-09T14:28:29.112421+00:00 | DB_CALL get_all_ingredients | P3 | 0.19ms | success
2026-01-09T14:28:29.113596+00:00 | DB_CALL get_user_by_id | P3 | 0.13ms | success
2026-01-09T14:28:29.113805+00:00 | DB_CALL get_all_categories | P3 | 0.12ms | success
2026-01-09T14:28:29.171386+00:00 | DB_CALL get_user_by_id | P3 | 0.69ms | success
2026-01-09T14:28:29.171555+00:00 | DB_CALL get_user_by_id | P3 | 0.59ms | success
2026-01-09T14:28:29.171768+00:00 | DB_CALL get_all_categories | P3 | 0.26ms | success
2026-01-09T14:28:29.172284+00:00 | DB_CALL get_all_ingredients | P3 | 0.65ms | success
2026-01-09T14:28:29.274206+00:00 | DB_CALL get_user_by_id | P3 | 0.24ms | success
2026-01-09T14:28:29.274457+00:00 | DB_CALL get_all_categories | P3 | 0.11ms | success
2026-01-09T14:28:29.332874+00:00 | DB_CALL get_user_by_id | P3 | 0.23ms | success
2026-01-09T14:28:29.333193+00:00 | DB_CALL get_all_categories | P3 | 0.17ms | success
2026-01-09T14:28:30.804072+00:00 | DB_CALL get_user_by_id | P3 | 0.26ms | success
2026-01-09T14:28:30.804397+00:00 | DB_CALL get_all_products | P3 | 0.17ms | success
2026-01-09T14:28:33.154239+00:00 | DB_CALL get_user_by_id | P3 | 0.23ms | success
2026-01-09T14:28:33.154558+00:00 | DB_CALL get_all_products | P3 | 0.16ms | success
2026-01-09T14:28:34.380908+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
2026-01-09T14:28:34.381253+00:00 | DB_CALL get_all_products | P3 | 0.16ms | success
2026-01-09T14:28:35.255954+00:00 | DB_CALL get_user_by_id | P3 | 0.24ms | success
2026-01-09T14:28:35.256216+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.11ms | success
2026-01-09T14:28:35.256407+00:00 | DB_CALL get_all_products | P3 | 0.14ms | success
2026-01-09T14:28:35.259159+00:00 | DB_CALL delete_ingredient | P3 | 2.69ms | success
2026-01-09T14:28:35.261826+00:00 | DB_CALL create_audit_log | P3 | 2.56ms | success
2026-01-09T14:28:35.422497+00:00 | DB_CALL get_user_by_id | P3 | 0.23ms | success
2026-01-09T14:28:35.422822+00:00 | DB_CALL get_all_ingredients | P3 | 0.19ms | success
2026-01-09T14:28:36.157481+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:28:36.157796+00:00 | DB_CALL get_all_products | P3 | 0.16ms | success
2026-01-09T14:28:37.051722+00:00 | DB_CALL get_user_by_id | P3 | 0.26ms | success
2026-01-09T14:28:37.052773+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.87ms | success
2026-01-09T14:28:37.053125+00:00 | DB_CALL get_all_products | P3 | 0.26ms | success
2026-01-09T14:28:37.056262+00:00 | DB_CALL delete_ingredient | P3 | 3.04ms | success
2026-01-09T14:28:37.058599+00:00 | DB_CALL create_audit_log | P3 | 2.21ms | success
2026-01-09T14:28:37.219456+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
2026-01-09T14:28:37.219829+00:00 | DB_CALL get_all_ingredients | P3 | 0.23ms | success
2026-01-09T14:28:38.435880+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
2026-01-09T14:28:38.436304+00:00 | DB_CALL get_all_products | P3 | 0.22ms | success
2026-01-09T14:28:39.258859+00:00 | DB_CALL get_user_by_id | P3 | 0.29ms | success
2026-01-09T14:28:39.259119+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.11ms | success
2026-01-09T14:28:39.259305+00:00 | DB_CALL get_all_products | P3 | 0.13ms | success
2026-01-09T14:28:39.261510+00:00 | DB_CALL delete_ingredient | P3 | 2.15ms | success
2026-01-09T14:28:39.263385+00:00 | DB_CALL create_audit_log | P3 | 1.78ms | success
2026-01-09T14:28:39.422297+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
